Date,Open,High,Low,Close,Volume
1/3/2012,325.25,332.83,324.97,209,481
1/4/2012,331.27,333.87,329.08,216,414
1/5/2012,329.83,330.75,326.89,204,460
1/6/2012,328.34,328.77,323.68,199,399
1/9/2012,322.04,322.29,309.46,158,11
1/10/2012,313.7,315.72,307.3,160,493
1/11/2012,310.59,313.52,309.4,164,350
1/12/2012,314.43,315.26,312.08,169,198
1/13/2012,311.96,312.3,309.37,162,332
1/17/2012,314.81,314.81,311.67,166,207
1/18/2012,312.14,315.82,309.9,174,402
1/19/2012,319.3,319.3,314.55,181,15
1/20/2012,294.16,294.4,289.76,89,90
1/23/2012,291.91,293.23,290.49,87,466
1/24/2012,292.07,292.74,287.92,83,440
1/25/2012,287.68,288.27,282.13,60,6
1/26/2012,284.92,286.17,281.22,57,455
1/27/2012,284.32,289.08,283.6,74,477
1/30/2012,287.95,288.92,285.63,71,341
1/31/2012,290.41,290.91,286.5,76,284
2/1/2012,291.38,291.66,288.49,81,337
2/2/2012,291.34,292.11,289.95,86,356
2/3/2012,294.23,297.42,292.93,98,450
2/6/2012,296.39,304.27,295.9,128,482
2/7/2012,302.44,303.56,300.75,119,270
2/8/2012,303.18,304.53,301.24,135,184
2/9/2012,304.87,306.1,303.36,140,319
2/10/2012,302.81,302.93,300.87,115,339
2/13/2012,304.11,305.77,303.87,141,176
2/14/2012,304.63,304.86,301.25,134,172
2/15/2012,305.32,305.32,300.15,114,357
2/16/2012,300.28,303.27,297.75,118,376
2/17/2012,301.36,302.68,300.08,109,362
2/21/2012,300.81,307.79,300.31,145,368
2/22/2012,304.84,307.24,302.22,126,224
2/23/2012,302.37,302.83,299.05,117,260
2/24/2012,302.54,304.68,301.62,136,216
2/27/2012,302.16,305.04,301.4,130,175
2/28/2012,303.86,308.73,302.71,154,412
2/29/2012,308.14,311.63,306.6,153,447
3/1/2012,309.97,311.68,307.92,157,314
3/2/2012,309.84,310.83,309.0,156,104
3/5/2012,309.06,310.08,304.55,147,110
3/6/2012,302.89,303.27,295.81,111,451
3/7/2012,303.39,304.45,301.8,120,48
3/8/2012,303.88,304.61,302.04,121,64
3/9/2012,302.84,304.81,298.88,102,395
3/12/2012,298.88,302.37,298.51,112,137
3/13/2012,303.24,307.77,301.64,152,316
3/14/2012,306.35,310.23,305.58,151,423
3/15/2012,307.15,310.59,306.27,155,360
3/16/2012,309.29,311.79,308.87,163,438
3/19/2012,310.4,317.45,309.46,177,292
3/20/2012,314.28,316.84,312.46,176,100
3/21/2012,316.12,322.49,315.07,182,366
3/22/2012,318.06,323.19,314.32,192,354
3/23/2012,322.09,323.04,319.25,189,217
3/26/2012,321.3,323.53,318.58,198,177
3/27/2012,322.31,325.53,321.2,194,238
3/28/2012,324.8,328.07,324.32,203,377
3/29/2012,325.5,327.07,320.95,197,212
3/30/2012,324.66,325.52,319.3,184,334
4/2/2012,319.19,322.54,316.23,193,323
4/3/2012,321.5,322.77,318.13,190,254
4/4/2012,318.03,318.31,314.37,179,122
4/5/2012,314.94,317.03,313.11,172,336
4/9/2012,313.07,316.48,311.48,170,296
4/10/2012,315.58,316.07,311.11,165,369
4/11/2012,315.8,316.81,314.47,180,300
4/12/2012,319.98,325.35,318.93,200,9
4/13/2012,322.57,323.28,310.61,161,19
4/16/2012,310.34,310.74,299.71,116,8
4/17/2012,303.14,307.69,302.37,132,433
4/18/2012,302.89,305.26,300.28,123,394
4/19/2012,301.71,306.98,298.38,101,461
4/20/2012,301.0,303.29,296.8,97,442
4/23/2012,295.34,298.11,294.0,100,299
4/24/2012,298.0,302.18,297.54,105,214
4/25/2012,300.87,304.53,300.31,133,178
4/26/2012,304.31,307.85,303.71,149,271
4/27/2012,306.36,307.22,304.16,148,125
4/30/2012,305.35,306.89,299.18,110,353
5/1/2012,300.77,304.66,298.97,108,237
5/2/2012,299.48,302.92,299.18,122,118
5/3/2012,303.67,306.27,303.34,138,193
5/4/2012,301.83,302.81,297.29,99,305
5/7/2012,296.39,304.14,296.39,124,235
5/8/2012,301.63,307.3,299.23,142,397
5/9/2012,302.28,307.04,299.78,129,340
5/10/2012,305.34,306.94,303.98,144,98
5/11/2012,304.04,306.13,301.26,113,274
5/14/2012,299.27,303.11,299.17,107,180
5/15/2012,301.54,306.35,300.75,139,275
5/16/2012,307.83,313.87,306.82,168,495
5/17/2012,315.73,317.73,309.46,159,463
5/18/2012,311.38,315.03,297.24,103,13
5/21/2012,299.13,306.7,298.88,146,443
5/22/2012,305.57,305.76,296.89,104,439
5/23/2012,299.7,303.66,297.45,131,452
5/24/2012,303.44,304.82,298.32,106,200
5/25/2012,299.38,299.74,293.04,93,476
5/29/2012,296.79,298.45,293.06,95,386
5/30/2012,292.98,294.84,290.68,92,205
5/31/2012,293.26,293.9,288.42,82,424
6/1/2012,284.83,285.26,283.11,64,441
6/4/2012,284.05,289.16,283.94,73,359
6/5/2012,286.65,287.99,282.18,61,343
6/6/2012,287.16,289.9,285.73,79,272
6/7/2012,292.7,292.85,287.55,72,166
6/8/2012,286.85,289.42,286.22,77,74
6/11/2012,291.01,291.57,282.29,58,392
6/12/2012,283.82,284.09,278.25,55,454
6/13/2012,279.81,282.44,278.3,51,220
6/14/2012,279.6,281.48,277.22,49,344
6/15/2012,279.12,281.21,277.5,53,427
6/18/2012,280.26,286.03,278.58,63,372
6/19/2012,285.72,291.05,285.49,84,265
6/20/2012,288.82,288.92,285.68,70,346
6/21/2012,288.84,288.84,280.81,56,242
6/22/2012,282.94,284.67,281.85,66,312
6/25/2012,282.61,282.98,277.63,50,107
6/26/2012,280.33,282.24,278.7,54,65
6/27/2012,282.79,285.92,281.95,59,144
6/28/2012,281.89,282.06,277.56,52,210
6/29/2012,286.41,288.98,285.03,75,375
7/2/2012,289.82,290.41,287.17,78,132
7/3/2012,288.92,293.11,287.92,91,35
7/5/2012,293.28,298.91,293.17,96,345
7/6/2012,295.12,295.65,290.32,88,287
7/9/2012,291.38,293.2,289.54,90,151
7/10/2012,293.99,295.11,288.29,85,211
7/11/2012,287.07,287.85,281.42,65,470
7/12/2012,282.5,284.9,280.0,62,333
7/13/2012,285.01,288.49,283.21,68,227
7/16/2012,287.11,288.51,284.82,67,82
7/17/2012,288.14,289.25,283.14,69,141
7/18/2012,287.41,290.76,286.99,80,101
7/19/2012,291.98,298.12,291.91,94,494
7/20/2012,303.24,305.33,297.97,137,17
7/23/2012,299.12,308.02,298.01,150,474
7/24/2012,306.35,307.81,301.04,125,241
7/25/2012,303.02,305.54,301.55,127,179
7/26/2012,306.35,307.28,303.88,143,143
7/27/2012,308.29,316.31,307.6,178,473
7/30/2012,316.84,320.1,313.57,171,297
7/31/2012,312.96,317.06,312.94,175,192
