Time (h),Air head pressure(pressure:bar),Dumped broth flow(Fremoved:L/h),Substrate concentration(S:g/L),Dissolved oxygen concentration(DO2:mg/L),Vessel Weight(Wt:Kg),carbon dioxide percent in off-gas(CO2outgas:%)
50.0,1.1,0,0.0021815,12.693,68355,1.1744
86.8,1.1,0,0.001105,14.784,88487,1.8541
4.0,0.6,0,1.5812,14.213,62688,0.15395
64.6,1.1,0,0.0018087,14.899,77958,1.4456
66.6,1.1,0,0.0017544,15.058,79317,1.4833
11.4,0.6,0,0.57682,12.033,63078,0.31649
60.4,1.1,0,0.0018084,14.72,75132,1.3665
46.0,1.1,0,0.0023025,13.227,67804,1.0955
66.4,1.1,0,0.0017996,15.021,79181,1.4796
26.6,0.8,0,0.0029147,12.925,65809,0.77139
27.6,0.8,0,0.0028394,12.773,65884,0.79157
84.8,1.1,0,0.0011128,14.874,87966,1.8267
67.2,1.1,0,0.0017507,15.076,79720,1.4944
5.2,0.6,0,1.8122,13.967,62743,0.17976
93.0,1.1,0,0.0012614,14.601,90151,1.5647
56.4,1.1,0,0.0019641,14.331,72503,1.2958
49.6,1.1,0,0.0021944,12.768,68301,1.1666
47.6,1.1,0,0.0022663,13.008,68020,1.1266
23.6,0.7,0,0.018598,9.889,65317,0.69259
8.6,0.6,0,1.7627,13.191,62900,0.21507
44.2,1.1,0,0.0024383,13.377,67573,1.06
35.4,0.9,0,0.002768,12.59,66616,0.96577
64.2,1.1,0,0.0018724,14.848,77690,1.438
30.8,0.9,0,0.0030202,13.116,66177,0.86234
46.4,1.1,0,0.0023283,13.208,67858,1.1033
45.6,1.1,0,0.0022982,13.301,67755,1.0878
83.6,1.1,0,0.0011697,14.864,87649,1.8104
40.8,1.1,0,0.0025176,13.752,67175,0.99464
25.4,0.8,0,0.0030286,12.963,65715,0.74652
66.0,1.1,0,0.0018092,14.995,78907,1.4719
6.4,0.6,0,1.9241,13.692,62798,0.21118
22.8,0.7,0,0.022694,10.007,64979,0.64921
94.2,1.1,0,0.0011939,14.593,90471,1.579
54.4,1.1,0,0.0019742,14.196,71207,1.2597
28.2,0.8,0,0.0033614,12.576,65935,0.80412
11.6,0.6,0,0.44014,11.92,63094,0.3255
38.6,0.9,0,0.0025102,12.236,66940,1.0352
5.0,0.6,0,1.7819,14.003,62737,0.17508
3.6,0.6,0,1.5362,14.289,62675,0.14649
53.2,1.1,0,0.0021231,14.091,70429,1.2368
13.4,0.7,0,0.012755,13.435,63229,0.39373
41.8,1.1,0,0.0023941,13.652,67292,1.0145
96.0,1.1,0,0.0011866,14.413,90939,1.6
19.0,0.7,0,0.016194,11.75,63876,0.60745
50.8,1.1,0,0.0020609,14.067,68866,1.1897
53.4,1.1,0,0.0020838,14.133,70560,1.2407
4.8,0.6,0,1.7475,14.049,62729,0.17057
44.6,1.1,0,0.002422,13.363,67625,1.068
52.4,1.1,0,0.0022069,13.994,69905,1.2208
85.4,1.1,0,0.0011286,14.767,88120,1.8349
1.2,0.6,0,1.1782,14.621,62617,0.11242
23.4,0.7,0,0.02004,9.887,65233,0.68179
9.2,0.6,0,1.6111,12.975,62931,0.2333
3.4,0.6,0,1.5099,14.326,62670,0.14297
92.6,1.1,0,0.0013064,14.601,90046,1.5597
71.6,1.1,0,0.0018973,15.362,82728,1.5793
0.8,0.6,0,1.0942,14.661,62607,0.10819
43.8,1.1,0,0.0022217,13.57,67524,1.0524
81.2,1.1,0,0.0013096,14.898,87014,1.7745
12.2,0.6,0,0.061676,11.966,63146,0.35344
22.2,0.7,0,0.026234,10.121,64727,0.61719
63.8,1.1,0,0.0017865,14.89,77421,1.4305
85.8,1.1,0,0.0011129,14.757,88218,1.8405
6.0,0.6,0,1.9017,13.797,62778,0.20005
87.6,1.1,0,0.0011585,14.645,88704,1.865
94.4,1.1,0,0.0011906,14.56,90523,1.5814
5.4,0.6,0,1.839,13.923,62749,0.1846
1.6,0.6,0,1.2544,14.583,62622,0.11694
90.8,1.1,0,0.0012787,14.703,89567,1.5371
21.8,0.7,0,0.02862,10.22,64570,0.59596
7.6,0.6,0,1.9014,13.333,62850,0.24903
31.6,0.9,0,0.0029728,12.98,66241,0.88002
98.0,1.1,0,0.0011153,14.334,91455,1.6227
23.8,0.7,0,0.01769,9.8526,65401,0.70333
23.0,0.7,0,0.022348,9.9447,65064,0.66
35.2,0.9,0,0.0027703,12.599,66595,0.96146
74.8,1.1,0,0.0016701,15.816,84949,1.6423
36.4,0.9,0,0.0028507,12.384,66716,0.98749
29.0,0.8,0,0.0033433,12.463,66017,0.82268
74.0,1.1,0,0.0018227,15.643,84393,1.6268
78.2,1.1,0,0.0021261,14.556,86117,1.7144
39.2,0.9,0,0.0024867,12.168,67002,1.0479
81.0,1.1,0,0.0012748,14.963,86963,1.7714
55.2,1.1,0,0.001843,14.38,71721,1.2742
91.0,1.1,0,0.0012933,14.697,89621,1.5396
28.4,0.8,0,0.0034163,12.541,65958,0.80874
73.2,1.1,0,0.0017866,15.599,83836,1.6113
13.6,0.7,0,0.012597,13.412,63242,0.39991
42.2,1.1,0,0.0023977,13.633,67338,1.0222
33.8,0.9,0,0.0028992,12.703,66459,0.93065
98.8,1.1,0,0.0011246,14.258,91660,1.6317
75.2,1.1,0,0.001551,15.211,85146,1.6496
80.2,1.1,0,0.0012097,15.158,86743,1.7593
54.6,1.1,0,0.0019182,14.262,71335,1.2634
22.0,0.7,0,0.027699,10.158,64647,0.60654
49.8,1.1,0,0.0021703,12.744,68328,1.1705
29.2,0.8,0,0.0032459,12.448,66032,0.82724
18.6,0.7,0,0.018253,11.761,63817,0.58925
30.6,0.9,0,0.0030001,13.162,66159,0.858
73.6,1.1,0,0.0017822,15.631,84114,1.619
93.6,1.1,0,0.0012033,14.626,90311,1.5719
16.8,0.7,0,0.027508,12.074,63540,0.50705
49.2,1.1,0,0.0023181,12.764,68244,1.1587
33.2,0.9,0,0.0031096,12.684,66396,0.91708
32.8,0.9,0,0.0033006,12.659,66358,0.90773
40.0,0.9,0,0.0024094,12.101,67083,1.0645
45.8,1.1,0,0.0022602,13.297,67779,1.0916
15.0,0.7,0,0.011133,13.285,63355,0.44268
95.8,1.1,0,0.0011739,14.44,90887,1.5976
71.8,1.1,0,0.0018157,15.439,82867,1.5833
50.2,1.1,0,0.0021408,13.977,68481,1.1783
24.0,0.7,0,0.017054,9.8146,65486,0.71406
62.2,1.1,0,0.0018682,14.762,76338,1.3999
60.0,1.1,0,0.0016796,14.785,74866,1.3594
