Age,Gender,Education Level,Job Title,Years of Experience,Salary
25.0,Female,Bachelor's,Data Entry Clerk,0.0,35000.0
25.0,Male,Bachelor's,Help Desk Analyst,0.0,35000.0
26.0,Male,Bachelor's,Junior Accountant,1.0,35000.0
25.0,Male,Bachelor's,Sales Representative,0.0,30000.0
26.0,Male,Bachelor's,Junior Software Developer,1.0,35000.0
23.0,Female,Bachelor's,Junior Marketing Analyst,0.5,35000.0
27.0,Male,Bachelor's,Junior Sales Representative,1.0,35000.0
26.0,Male,Bachelor's,Junior Customer Support Specialist,2.0,35000.0
27.0,Male,Bachelor's,Junior Business Development Associate,1.5,35000.0
28.0,Male,Bachelor's,Junior Operations Analyst,1.5,35000.0
29.0,Male,Bachelor's,Junior Business Operations Analyst,1.5,35000.0
29.0,Female,Bachelor's,Junior Business Development Associate,1.5,35000.0
29.0,Female,Bachelor's,Junior Business Development Associate,1.5,35000.0
28.0,Female,Bachelor's,Junior Operations Manager,1.0,35000.0
